,TS_name,Retraining_Batches
0,ec2_cpu_utilization_825cc2.csv,"[0, 1, 2, 3, 5, 6]"
1,ec2_network_in_257a54.csv,"[5, 6]"
2,ec2_cpu_utilization_c6585a.csv,"[0, 1, 3, 5]"
3,rds_cpu_utilization_cc0c53.csv,"[3, 4, 6]"
4,ec2_cpu_utilization_5f5533.csv,"[1, 3, 5]"
5,ec2_disk_write_bytes_c0d644.csv,"[0, 1, 2, 3, 4, 5, 6]"
6,rds_cpu_utilization_e47b3b.csv,"[0, 1, 2, 4, 6]"
7,ec2_network_in_5abac7.csv,"[0, 8]"
8,ec2_cpu_utilization_ac20cd.csv,"[1, 5, 6]"
9,elb_request_count_8c0756.csv,"[1, 3, 5]"
10,ec2_cpu_utilization_24ae8d.csv,"[0, 1, 3, 4, 6]"
11,ec2_disk_write_bytes_1ef3de.csv,"[0, 1]"
12,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,[]
13,ec2_cpu_utilization_53ea38.csv,[2]
14,ec2_cpu_utilization_77c1ca.csv,"[0, 1]"
15,grok_asg_anomaly.csv,"[0, 2, 5, 7]"
16,ec2_cpu_utilization_fe7f93.csv,"[0, 1, 3, 4]"
