,TS_name,Retraining_Batches
0,real_59.csv,[]
1,real_65.csv,"[0, 2, 3]"
2,real_64.csv,[2]
3,real_58.csv,"[1, 4]"
4,real_66.csv,"[0, 2]"
5,real_67.csv,"[0, 2]"
6,real_63.csv,[]
7,real_62.csv,"[0, 1]"
8,real_60.csv,"[0, 2]"
9,real_48.csv,"[0, 1, 3]"
10,real_49.csv,[]
11,real_61.csv,"[0, 2]"
12,real_12.csv,"[0, 3]"
13,real_5.csv,"[0, 1, 3]"
14,real_4.csv,"[0, 2, 3]"
15,real_13.csv,"[0, 2, 4]"
16,real_39.csv,[3]
17,real_11.csv,"[0, 2, 4]"
18,real_6.csv,"[0, 3]"
19,real_7.csv,"[0, 3]"
20,real_10.csv,[4]
21,real_38.csv,[]
22,real_14.csv,"[0, 2, 4]"
23,real_28.csv,"[0, 2]"
24,real_3.csv,"[2, 4]"
25,real_2.csv,"[0, 2, 3]"
26,real_29.csv,[]
27,real_15.csv,"[0, 2]"
28,real_17.csv,"[0, 2, 4]"
29,real_1.csv,[3]
30,real_16.csv,[1]
31,real_33.csv,"[0, 3]"
32,real_27.csv,"[1, 3]"
33,real_26.csv,"[0, 2]"
34,real_32.csv,[2]
35,real_18.csv,[]
36,real_24.csv,"[0, 2]"
37,real_30.csv,[3]
38,real_31.csv,"[1, 3]"
39,real_25.csv,"[2, 4]"
40,real_19.csv,"[0, 3]"
41,real_21.csv,"[0, 3]"
42,real_35.csv,[]
43,real_34.csv,[3]
44,real_20.csv,"[0, 2]"
45,real_36.csv,"[0, 1]"
46,real_22.csv,"[0, 2, 4]"
47,real_9.csv,"[0, 3]"
48,real_8.csv,"[0, 2, 3]"
49,real_23.csv,[]
50,real_37.csv,"[0, 2, 4]"
51,real_50.csv,"[0, 2]"
52,real_44.csv,"[0, 2]"
53,real_45.csv,"[1, 3]"
54,real_51.csv,[3]
55,real_47.csv,[2]
56,real_53.csv,"[0, 2]"
57,real_52.csv,[]
58,real_46.csv,"[0, 3]"
59,real_42.csv,"[0, 2, 4]"
60,real_56.csv,[]
61,real_57.csv,"[0, 2]"
62,real_43.csv,"[0, 2]"
63,real_55.csv,[]
64,real_41.csv,"[0, 2, 4]"
65,real_40.csv,"[0, 2]"
66,real_54.csv,[0]
